Gene_name,Gene_name,biotype,gene_length,Ensembl_ID
CG31528,CG31528,protein_coding,1228,FBgn0051528
srl,srl,protein_coding,4642,FBgn0037248
CG31525,CG31525,protein_coding,1171,FBgn0051525
eIF3a,eIF3a,protein_coding,3892,FBgn0037249
CG1074,CG1074,protein_coding,1687,FBgn0037250
asRNA:CR46138,asRNA:CR46138,ncRNA,1478,FBgn0267813
CG9804,CG9804,protein_coding,1108,FBgn0037251
asRNA:CR44134,asRNA:CR44134,ncRNA,875,FBgn0264983
CG14650,CG14650,protein_coding,3630,FBgn0037252
CG31522,CG31522,protein_coding,3468,FBgn0051522
asRNA:CR43629,asRNA:CR43629,ncRNA,1359,FBgn0263620
CG31523,CG31523,protein_coding,4032,FBgn0051523
CG14651,CG14651,protein_coding,3404,FBgn0037254
Fip1,Fip1,protein_coding,2418,FBgn0037255
CG34357,CG34357,protein_coding,7704,FBgn0085386
CG34425,CG34425,protein_coding,1754,FBgn0085454
lncRNA:CR31526,lncRNA:CR31526,ncRNA,632,FBgn0051526
Mur82C,Mur82C,protein_coding,1785,FBgn0037260
CG32945,CG32945,protein_coding,706,FBgn0052945
lncRNA:CR45558,lncRNA:CR45558,ncRNA,887,FBgn0267118
lncRNA:CR44317,lncRNA:CR44317,ncRNA,1360,FBgn0265376
5-HT2A,5-HT2A,protein_coding,5410,FBgn0087012
lncRNA:CR45673,lncRNA:CR45673,ncRNA,681,FBgn0267233
CG9775,CG9775,protein_coding,2504,FBgn0037261
sisRNA:CR46358,sisRNA:CR46358,ncRNA,216,FBgn0286036
slx1,slx1,protein_coding,1139,FBgn0037263
MED31,MED31,protein_coding,1098,FBgn0037262
Dlip2,Dlip2,protein_coding,903,FBgn0040466
rpk,rpk,protein_coding,2536,FBgn0022981
asRNA:CR44155,asRNA:CR44155,ncRNA,1743,FBgn0265038
Karybeta3,Karybeta3,protein_coding,4364,FBgn0087013
spartin,spartin,protein_coding,2242,FBgn0037265
smash,smash,protein_coding,10493,FBgn0263346
lncRNA:CR44156,lncRNA:CR44156,ncRNA,413,FBgn0265039
lncRNA:CR44157,lncRNA:CR44157,ncRNA,634,FBgn0265040
CG33927,CG33927,protein_coding,549,FBgn0053927
eIF3f1,eIF3f1,protein_coding,1301,FBgn0037270
lncRNA:CR44923,lncRNA:CR44923,ncRNA,811,FBgn0266228
Nep2,Nep2,protein_coding,3136,FBgn0027570
tacc,tacc,protein_coding,6246,FBgn0026620
asRNA:CR46137,asRNA:CR46137,ncRNA,409,FBgn0267812
mir-9384,mir-9384,pre_miRNA,60,FBgn0283546
atms,atms,protein_coding,2040,FBgn0010750
CG44098,CG44098,protein_coding,4907,FBgn0264907
CG44088,CG44088,protein_coding,538,FBgn0264897
CG14655,CG14655,protein_coding,2137,FBgn0037275
CG17387,CG17387,protein_coding,3093,FBgn0037276
ctrip,ctrip,protein_coding,11869,FBgn0260794
Hus1-like,Hus1-like,protein_coding,1169,FBgn0026417
CG1129,CG1129,protein_coding,2744,FBgn0037279
BBS5,BBS5,protein_coding,1228,FBgn0037280
CG14657,CG14657,protein_coding,3183,FBgn0037282
CG14658,CG14658,protein_coding,603,FBgn0037283
CG14659,CG14659,protein_coding,449,FBgn0037284
opa,opa,protein_coding,2939,FBgn0003002
laf,laf,protein_coding,2407,FBgn0020280
lncRNA:CR45580,lncRNA:CR45580,ncRNA,871,FBgn0267140
Gnf1,Gnf1,protein_coding,3274,FBgn0004913
Cdep,Cdep,protein_coding,18664,FBgn0265082
lncRNA:CR45188,lncRNA:CR45188,ncRNA,1137,FBgn0266698
snRNA:U1:82Eb,snRNA:U1:82Eb,snRNA,164,FBgn0004183
Ubc6,Ubc6,protein_coding,2166,FBgn0004436
CG14661,CG14661,protein_coding,1083,FBgn0037288
CG2016,CG2016,protein_coding,1452,FBgn0250839
CG1124,CG1124,protein_coding,1116,FBgn0037290
CG14662,CG14662,protein_coding,2000,FBgn0037291
asRNA:CR43478,asRNA:CR43478,ncRNA,1386,FBgn0263455
lncRNA:CR43424,lncRNA:CR43424,ncRNA,1525,FBgn0263343
plh,plh,protein_coding,902,FBgn0037292
lncRNA:CR45585,lncRNA:CR45585,ncRNA,753,FBgn0267145
lncRNA:CR46352,lncRNA:CR46352,ncRNA,374,FBgn0286032
lncRNA:CR43635,lncRNA:CR43635,ncRNA,687,FBgn0263626
lncRNA:CR45588,lncRNA:CR45588,ncRNA,558,FBgn0267148
corto,corto,protein_coding,9294,FBgn0010313
CG43131,CG43131,protein_coding,451,FBgn0262605
CG12007,CG12007,protein_coding,1853,FBgn0037293
CG12589,CG12589,protein_coding,1893,FBgn0040684
dpr16,dpr16,protein_coding,2922,FBgn0037295
CG12590,CG12590,protein_coding,1290,FBgn0037294
CR46401,CR46401,pseudogene,285,FBgn0286879
cno,cno,protein_coding,13220,FBgn0259212
snRNA:U4atac,snRNA:U4atac,snRNA,160,FBgn0263018
Prosbeta2R2,Prosbeta2R2,protein_coding,1319,FBgn0037296
CG1116,CG1116,protein_coding,1699,FBgn0037297
Sccpdh1,Sccpdh1,protein_coding,1734,FBgn0037298
CG14664,CG14664,protein_coding,1404,FBgn0040682
Vps37B,Vps37B,protein_coding,1041,FBgn0037299
Kat60,Kat60,protein_coding,2662,FBgn0040208
Mms19,Mms19,protein_coding,3233,FBgn0037301
rtp,rtp,protein_coding,960,FBgn0087005
CG12163,CG12163,protein_coding,2985,FBgn0260462
CG33293,CG33293,protein_coding,661,FBgn0053293
asRNA:CR44019,asRNA:CR44019,ncRNA,569,FBgn0264789
CG1113,CG1113,protein_coding,1992,FBgn0037304
CG12173,CG12173,protein_coding,867,FBgn0037305
Hph,Hph,protein_coding,4296,FBgn0264785
Tim17a2,Tim17a2,protein_coding,991,FBgn0037307
lncRNA:CR45793,lncRNA:CR45793,ncRNA,755,FBgn0267443
CR45033,CR45033,pseudogene,427,FBgn0266393
mtd,mtd,protein_coding,13741,FBgn0013576
CG31538,CG31538,protein_coding,2158,FBgn0051538
Tim17b1,Tim17b1,protein_coding,785,FBgn0037310
CG11999,CG11999,protein_coding,904,FBgn0037312
CG1161,CG1161,protein_coding,1241,FBgn0037313
Prosbeta7,Prosbeta7,protein_coding,1215,FBgn0250746
Cerk,Cerk,protein_coding,2821,FBgn0037315
lncRNA:CR44103,lncRNA:CR44103,ncRNA,249,FBgn0264912
CG34277,CG34277,protein_coding,1803,FBgn0085306
CG31542,CG31542,protein_coding,1810,FBgn0051542
RpII18,RpII18,protein_coding,541,FBgn0003275
hd,hd,protein_coding,2255,FBgn0086695
CG14667,CG14667,protein_coding,1260,FBgn0037317
7B2,7B2,protein_coding,1148,FBgn0041707
kkv,kkv,protein_coding,5701,FBgn0001311
CG14668,CG14668,protein_coding,948,FBgn0037320
tRNA:Arg-TCG-4-1,tRNA:Arg-TCG-4-1,tRNA,73,FBgn0011965
CG1172,CG1172,protein_coding,4339,FBgn0264712
Or83a,Or83a,protein_coding,1362,FBgn0037322
CG2663,CG2663,protein_coding,1645,FBgn0037323
Orco,Orco,protein_coding,1941,FBgn0037324
CG14669,CG14669,protein_coding,4885,FBgn0037326
CG12147,CG12147,protein_coding,1889,FBgn0037325
PEK,PEK,protein_coding,4873,FBgn0037327
RpL35A,RpL35A,protein_coding,621,FBgn0037328
POLDIP2,POLDIP2,protein_coding,1675,FBgn0037329
mRpL44,mRpL44,protein_coding,1122,FBgn0037330
Snr1,Snr1,protein_coding,1335,FBgn0011715
CG45100,CG45100,protein_coding,1660,FBgn0266539
HDAC3,HDAC3,protein_coding,1660,FBgn0025825
Hcs,Hcs,protein_coding,3991,FBgn0037332
ksr,ksr,protein_coding,5517,FBgn0015402
CG31550,CG31550,protein_coding,3357,FBgn0051550
NKCC,NKCC,protein_coding,3963,FBgn0051547
Nmdar1,Nmdar1,protein_coding,4170,FBgn0010399
Itpr,Itpr,protein_coding,10331,FBgn0010051
CG43845,CG43845,protein_coding,822,FBgn0264427
CG2519,CG2519,protein_coding,5935,FBgn0037336
mia,mia,protein_coding,2590,FBgn0014342
Pcmt,Pcmt,protein_coding,998,FBgn0086768
Snm1,Snm1,protein_coding,2589,FBgn0037338
Pi4KIIalpha,Pi4KIIalpha,protein_coding,3934,FBgn0037339
snoRNA:Pi4KIIalpha-a,snoRNA:Pi4KIIalpha-a,snoRNA,161,FBgn0263484
asRNA:CR46136,asRNA:CR46136,ncRNA,1102,FBgn0267811
CG14671,CG14671,protein_coding,774,FBgn0037340
CG12746,CG12746,protein_coding,1669,FBgn0037341
CG2931,CG2931,protein_coding,1114,FBgn0037342
Rheb,Rheb,protein_coding,1225,FBgn0041191
CRMP,CRMP,protein_coding,2814,FBgn0023023
CG2926,CG2926,protein_coding,8284,FBgn0037344
scaRNA:MeU4:25F-C137,scaRNA:MeU4:25F-C137,ncRNA,143,FBgn0286738
Rev7,Rev7,protein_coding,831,FBgn0037345
noi,noi,protein_coding,1859,FBgn0014366
Vha26,Vha26,protein_coding,2926,FBgn0283535
kra,kra,protein_coding,2866,FBgn0250753
snoRNA:Psi28S-3385b,snoRNA:Psi28S-3385b,snoRNA,140,FBgn0082961
snoRNA:Psi28S-3385a,snoRNA:Psi28S-3385a,snoRNA,150,FBgn0082962
snoRNA:Psi28S-3091b,snoRNA:Psi28S-3091b,snoRNA,133,FBgn0082978
snoRNA:Psi28S-3091a,snoRNA:Psi28S-3091a,snoRNA,135,FBgn0082979
snoRNA:Psi28S-3571,snoRNA:Psi28S-3571,snoRNA,144,FBgn0082954
snoRNA:Psi28S-3186,snoRNA:Psi28S-3186,snoRNA,143,FBgn0086662
snoRNA:Psi28S-2442b,snoRNA:Psi28S-2442b,snoRNA,144,FBgn0082988
snoRNA:Psi28S-2442a,snoRNA:Psi28S-2442a,snoRNA,140,FBgn0082989
SecS,SecS,protein_coding,1580,FBgn0037347
asl,asl,protein_coding,3187,FBgn0261004
Rga,Rga,protein_coding,2902,FBgn0017550
asRNA:ASTR,asRNA:ASTR,ncRNA,1853,FBgn0263619
sisRNA:1,sisRNA:1,ncRNA,367,FBgn0285959
asRNA:CR46135,asRNA:CR46135,ncRNA,3029,FBgn0267810
Atu,Atu,protein_coding,2351,FBgn0019637
Spec2,Spec2,protein_coding,1748,FBgn0044823
CG2911,CG2911,protein_coding,1325,FBgn0037350
RpL13A,RpL13A,protein_coding,903,FBgn0037351
snoRNA:Me28S-U2134b,snoRNA:Me28S-U2134b,snoRNA,77,FBgn0260002
snoRNA:Me28S-U2134a,snoRNA:Me28S-U2134a,snoRNA,75,FBgn0086051
CG31551,CG31551,protein_coding,4182,FBgn0051551
CG31549,CG31549,protein_coding,1130,FBgn0051549
CG12171,CG12171,protein_coding,1014,FBgn0037354
CG31546,CG31546,protein_coding,999,FBgn0051546
CG31548,CG31548,protein_coding,952,FBgn0051548
CG12170,CG12170,protein_coding,1424,FBgn0037356
MTA1-like,MTA1-like,protein_coding,5326,FBgn0027951
Sec23,Sec23,protein_coding,2822,FBgn0262125
elm,elm,protein_coding,1321,FBgn0037358
MED27,MED27,protein_coding,1080,FBgn0037359
CG2182,CG2182,protein_coding,2415,FBgn0037360
asRNA:CR44093,asRNA:CR44093,ncRNA,442,FBgn0264902
Wdr33,Wdr33,protein_coding,2798,FBgn0046222
asRNA:CR46134,asRNA:CR46134,ncRNA,2132,FBgn0267809
Xe7,Xe7,protein_coding,3325,FBgn0010772
Atg17,Atg17,protein_coding,6303,FBgn0037363
Rab23,Rab23,protein_coding,2267,FBgn0037364
plx,plx,protein_coding,7272,FBgn0261261
CG2104,CG2104,protein_coding,2396,FBgn0037365
cas,cas,protein_coding,3151,FBgn0004878
lncRNA:CR44924,lncRNA:CR44924,ncRNA,1275,FBgn0266229
CG1239,CG1239,protein_coding,1058,FBgn0037368
CG2100,CG2100,protein_coding,1597,FBgn0037369
CG1236,CG1236,protein_coding,1190,FBgn0037370
Sym,Sym,protein_coding,3986,FBgn0037371
Madm,Madm,protein_coding,3777,FBgn0027497
CG2091,CG2091,protein_coding,1335,FBgn0037372
Sec8,Sec8,protein_coding,3363,FBgn0266672
CG2082,CG2082,protein_coding,3429,FBgn0027608
jagn,jagn,protein_coding,1649,FBgn0037374
kat-60L1,kat-60L1,protein_coding,2739,FBgn0037375
Hat1,Hat1,protein_coding,1648,FBgn0037376
Rpn5,Rpn5,protein_coding,1897,FBgn0028690
CG1218,CG1218,protein_coding,1505,FBgn0037377
PSMG1,PSMG1,protein_coding,893,FBgn0037378
CG10979,CG10979,protein_coding,4660,FBgn0037379
CG11000,CG11000,protein_coding,6816,FBgn0263353
CG42675,CG42675,protein_coding,2744,FBgn0261561
Hpr1,Hpr1,protein_coding,2311,FBgn0037382
CG46303,CG46303,protein_coding,464,FBgn0284081
Sec20,Sec20,protein_coding,2454,FBgn0037383
dgrn,dgrn,protein_coding,1635,FBgn0037384
glob3,glob3,protein_coding,1118,FBgn0037385
CG1208,CG1208,protein_coding,2499,FBgn0037386
asRNA:CR45192,asRNA:CR45192,ncRNA,649,FBgn0266702
CG1213,CG1213,protein_coding,2356,FBgn0037387
CG14676,CG14676,protein_coding,958,FBgn0037388
CR10991,CR10991,pseudogene,777,FBgn0037389
disp,disp,protein_coding,4884,FBgn0029088
CG34287,CG34287,protein_coding,951,FBgn0085316
ECSIT,ECSIT,protein_coding,1330,FBgn0028436
CG2017,CG2017,protein_coding,2760,FBgn0037391
asRNA:CR46133,asRNA:CR46133,ncRNA,700,FBgn0267808
side-III,side-III,protein_coding,8500,FBgn0083949
lncRNA:CR45761,lncRNA:CR45761,ncRNA,1085,FBgn0267399
lncRNA:CR45762,lncRNA:CR45762,ncRNA,1020,FBgn0267400
CG11373,CG11373,protein_coding,359,FBgn0040679
lncRNA:CR44925,lncRNA:CR44925,ncRNA,606,FBgn0266230
lncRNA:CR44926,lncRNA:CR44926,ncRNA,616,FBgn0266231
lncRNA:TS20,lncRNA:TS20,ncRNA,532,FBgn0284417
Obp83a,Obp83a,protein_coding,986,FBgn0011281
Obp83b,Obp83b,protein_coding,528,FBgn0010403
lncRNA:CR44927,lncRNA:CR44927,ncRNA,1115,FBgn0266232
lncRNA:CR44928,lncRNA:CR44928,ncRNA,766,FBgn0266233
Rm62,Rm62,protein_coding,5386,FBgn0003261
CG10280,CG10280,protein_coding,1089,FBgn0037395
CG11459,CG11459,protein_coding,1413,FBgn0037396
CR1075,CR1075,pseudogene,855,FBgn0037397
lncRNA:CR46221,lncRNA:CR46221,ncRNA,531,FBgn0267941
lncRNA:CR44921,lncRNA:CR44921,ncRNA,501,FBgn0266226
CG15580,CG15580,protein_coding,2371,FBgn0037398
Or83c,Or83c,protein_coding,1194,FBgn0037399
Gasp,Gasp,protein_coding,2355,FBgn0026077
lncRNA:CR44929,lncRNA:CR44929,ncRNA,1024,FBgn0266234
Obp83cd,Obp83cd,protein_coding,899,FBgn0046878
Obp83ef,Obp83ef,protein_coding,901,FBgn0046876
Obp83g,Obp83g,protein_coding,569,FBgn0046875
Vha14-2,Vha14-2,protein_coding,1677,FBgn0037402
lncRNA:CR43486,lncRNA:CR43486,ncRNA,677,FBgn0263497
lncRNA:CR43487,lncRNA:CR43487,ncRNA,727,FBgn0263498
CG31559,CG31559,protein_coding,2003,FBgn0051559
CG1077,CG1077,protein_coding,2302,FBgn0037405
Osi1,Osi1,protein_coding,1161,FBgn0037406
CR31562,CR31562,pseudogene,1175,FBgn0051562
NPFR,NPFR,protein_coding,3214,FBgn0037408
Osi24,Osi24,protein_coding,2629,FBgn0037409
Osi2,Osi2,protein_coding,1740,FBgn0037410
Osi3,Osi3,protein_coding,1381,FBgn0037411
Osi4,Osi4,protein_coding,1522,FBgn0037412
Osi5,Osi5,protein_coding,892,FBgn0037413
Osi6,Osi6,protein_coding,1846,FBgn0027527
Osi7,Osi7,protein_coding,2690,FBgn0037414
Osi8,Osi8,protein_coding,1135,FBgn0037415
Osi9,Osi9,protein_coding,1360,FBgn0037416
Osi10a,Osi10a,protein_coding,1139,FBgn0286976
Osi10b,Osi10b,protein_coding,967,FBgn0286977
Osi11,Osi11,protein_coding,1167,FBgn0037418
Osi12,Osi12,protein_coding,1755,FBgn0037419
CG15597,CG15597,protein_coding,679,FBgn0037420
CG15594,CG15594,protein_coding,1454,FBgn0037421
Osi13,Osi13,protein_coding,1518,FBgn0037422
Osi14,Osi14,protein_coding,1091,FBgn0040279
Osi15,Osi15,protein_coding,1232,FBgn0037424
CG46396,CG46396,protein_coding,468,FBgn0286874
Osi16,Osi16,protein_coding,1061,FBgn0051561
CG46026,CG46026,protein_coding,2091,FBgn0267690
CG31560,CG31560,protein_coding,968,FBgn0051560
Osi17,Osi17,protein_coding,4068,FBgn0037427
Osi18,Osi18,protein_coding,1270,FBgn0037428
Osi19,Osi19,protein_coding,1138,FBgn0037429
Osi20,Osi20,protein_coding,1264,FBgn0037430
CG17917,CG17917,protein_coding,706,FBgn0037431
CG10298,CG10298,protein_coding,745,FBgn0037432
CG17919,CG17919,protein_coding,778,FBgn0037433
SmD2,SmD2,protein_coding,778,FBgn0261789
CG18048,CG18048,protein_coding,1409,FBgn0037435
Hr83,Hr83,protein_coding,837,FBgn0037436
Pak,Pak,protein_coding,5973,FBgn0267698
CG42724,CG42724,protein_coding,6156,FBgn0261641
CG10286,CG10286,protein_coding,2151,FBgn0037439
CRAT,CRAT,protein_coding,2657,FBgn0037440
CG42564,CG42564,protein_coding,1587,FBgn0260766
snoRNA:83E4-5,snoRNA:83E4-5,snoRNA,140,FBgn0261006
CG1024,CG1024,protein_coding,2701,FBgn0027514
CG42537,CG42537,protein_coding,376,FBgn0260645
TfIIFalpha,TfIIFalpha,protein_coding,1938,FBgn0010282
gzl,gzl,protein_coding,3766,FBgn0037442
Dmtn,Dmtn,protein_coding,3827,FBgn0037443
gpp,gpp,protein_coding,11749,FBgn0264495
lncRNA:CR44017,lncRNA:CR44017,ncRNA,601,FBgn0264787
CG9727,CG9727,protein_coding,6313,FBgn0037445
mir-9375,mir-9375,pre_miRNA,59,FBgn0283558
Zif,Zif,protein_coding,1515,FBgn0037446
Neurochondrin,Neurochondrin,protein_coding,2580,FBgn0037447
CG15186,CG15186,protein_coding,6322,FBgn0037448
tRNA:Met-CAT-1-5,tRNA:Met-CAT-1-5,tRNA,73,FBgn0011919
CG15185,CG15185,protein_coding,1167,FBgn0037449
dpr11,dpr11,protein_coding,4651,FBgn0053202
Pif2,Pif2,protein_coding,887,FBgn0046873
lncRNA:CR46132,lncRNA:CR46132,ncRNA,683,FBgn0267807
CG1137,CG1137,protein_coding,1363,FBgn0037454
CG2336,CG2336,protein_coding,1358,FBgn0037455
lncRNA:CR46131,lncRNA:CR46131,ncRNA,675,FBgn0267806
CG1138,CG1138,protein_coding,1398,FBgn0037456
CG31482,CG31482,protein_coding,792,FBgn0051482
glob2,glob2,protein_coding,2524,FBgn0250846
sowi,sowi,protein_coding,830,FBgn0037460
CG15177,CG15177,protein_coding,1013,FBgn0037461
sunz,sunz,protein_coding,921,FBgn0037462
CG31286,CG31286,protein_coding,1834,FBgn0051286
Ass,Ass,protein_coding,1456,FBgn0026565
Taf1,Taf1,protein_coding,6876,FBgn0010355
CG1307,CG1307,protein_coding,1159,FBgn0026566
twr,twr,protein_coding,855,FBgn0262801
agt,agt,protein_coding,1295,FBgn0024912
lab,lab,protein_coding,3046,FBgn0002522
Edg84A,Edg84A,protein_coding,652,FBgn0000552
Ccp84Ag,Ccp84Ag,protein_coding,1097,FBgn0004777
Ccp84Af,Ccp84Af,protein_coding,580,FBgn0004778
Ccp84Ae,Ccp84Ae,protein_coding,754,FBgn0004779
Ccp84Ad,Ccp84Ad,protein_coding,735,FBgn0004780
Ccp84Ac,Ccp84Ac,protein_coding,1060,FBgn0004781
lncRNA:CR33938,lncRNA:CR33938,ncRNA,505,FBgn0063127
Ccp84Ab,Ccp84Ab,protein_coding,834,FBgn0004782
Ccp84Aa,Ccp84Aa,protein_coding,765,FBgn0004783
pb,pb,protein_coding,3728,FBgn0051481
zen2,zen2,protein_coding,1002,FBgn0004054
CG34297,CG34297,protein_coding,770,FBgn0085326
zen,zen,protein_coding,1267,FBgn0004053
bcd,bcd,protein_coding,2536,FBgn0000166
lncRNA:CR45593,lncRNA:CR45593,ncRNA,1406,FBgn0267153
Ama,Ama,protein_coding,1946,FBgn0000071
lncRNA:CR44930,lncRNA:CR44930,ncRNA,1225,FBgn0266235
lncRNA:CR42721,lncRNA:CR42721,ncRNA,2266,FBgn0261638
mir-993,mir-993,pre_miRNA,119,FBgn0262174
lncRNA:CR43435,lncRNA:CR43435,ncRNA,836,FBgn0263383
Dfd,Dfd,protein_coding,2739,FBgn0000439
lncRNA:CR42651,lncRNA:CR42651,ncRNA,2076,FBgn0261503
mir-10,mir-10,pre_miRNA,77,FBgn0262424
lncRNA:CR45915,lncRNA:CR45915,ncRNA,428,FBgn0267575
tRNA:Lys-CTT-2-1Psi,tRNA:Lys-CTT-2-1Psi,pseudogene,73,FBgn0051485
tRNA:Lys-TTT-2-1,tRNA:Lys-TTT-2-1,tRNA,73,FBgn0026162
7SLRNA:CR42652,7SLRNA:CR42652,ncRNA,299,FBgn0261504
tRNA:Lys-TTT-2-2,tRNA:Lys-TTT-2-2,tRNA,73,FBgn0026163
tRNA:Lys-TTT-2-3,tRNA:Lys-TTT-2-3,tRNA,73,FBgn0026164
7SLRNA:CR32864,7SLRNA:CR32864,ncRNA,299,FBgn0000003
tRNA:Lys-TTT-2-4,tRNA:Lys-TTT-2-4,tRNA,73,FBgn0011904
Scr,Scr,protein_coding,4577,FBgn0003339
lncRNA:CR45901,lncRNA:CR45901,ncRNA,885,FBgn0267561
lncRNA:CR45902,lncRNA:CR45902,ncRNA,625,FBgn0267562
lncRNA:CR45903,lncRNA:CR45903,ncRNA,311,FBgn0267563
lncRNA:CR45904,lncRNA:CR45904,ncRNA,490,FBgn0267564
lncRNA:CR45905,lncRNA:CR45905,ncRNA,943,FBgn0267565
lncRNA:CR45900,lncRNA:CR45900,ncRNA,354,FBgn0267560
ftz,ftz,protein_coding,1774,FBgn0001077
lncRNA:CR44931,lncRNA:CR44931,ncRNA,505,FBgn0266236
lncRNA:CR45559,lncRNA:CR45559,ncRNA,545,FBgn0267119
lncRNA:CR44932,lncRNA:CR44932,ncRNA,884,FBgn0266237
Antp,Antp,protein_coding,7945,FBgn0260642
CG46458,CG46458,protein_coding,3978,FBgn0287588
lncRNA:CR43252,lncRNA:CR43252,ncRNA,1083,FBgn0262897
lncRNA:CR45899,lncRNA:CR45899,ncRNA,932,FBgn0267559
lncRNA:CR44933,lncRNA:CR44933,ncRNA,1237,FBgn0266238
Sodh-1,Sodh-1,protein_coding,1387,FBgn0024289
CG1979,CG1979,protein_coding,3425,FBgn0026563
dj,dj,protein_coding,1210,FBgn0019828
djl,djl,protein_coding,1098,FBgn0037463
Mst84B,Mst84B,protein_coding,2196,FBgn0037464
CG1105,CG1105,protein_coding,1796,FBgn0037465
CG1965,CG1965,protein_coding,3228,FBgn0037466
Ufl1,Ufl1,protein_coding,2574,FBgn0037467
asRNA:CR45908,asRNA:CR45908,ncRNA,712,FBgn0267568
CG1943,CG1943,protein_coding,1349,FBgn0037468
Ref1,Ref1,protein_coding,1328,FBgn0010774
Dpck,Dpck,protein_coding,914,FBgn0037469
Tailor,Tailor,protein_coding,2003,FBgn0037470
asRNA:CR45907,asRNA:CR45907,ncRNA,481,FBgn0267567
alphaTub84B,alphaTub84B,protein_coding,1752,FBgn0003884
lncRNA:CR43685,lncRNA:CR43685,ncRNA,1241,FBgn0263768
e(y)2b,e(y)2b,protein_coding,662,FBgn0040670
